ROI#,Label,Region
67,dorsal_ACC_L,Dorsal anterior cingulate gyrus left
68,dorsal_ACC_R,Dorsal anterior cingulate gyrus right
69,PCC_L,Posterior cingulate gyrus left
70,PCC_R,Posterior cingulate gyrus right
71,Insula_L,Insula left
72,Insula_R,Insula right
73,Amyg_L,Amygdala left
74,Amyg_R,Amygdala right
75,Hippo_L,Hippocampus left
76,Hippo_R,Hippocampus right
77,Caud_L,Caudate nucleus left
78,Caud_R,Caudate nucleus right
79,Put_L,Putamen left
80,Put_R,Putamen right
81,GP_L,Globus pallidus left
82,GP_R,Globus pallidus right
83,Thalamus_L,Thalamus left
84,Thalamus_R,Thalamus right
85,HypoThalamus_L,Hypothalamus left
86,HypoThalamus_R,Hypothalamus right
87,AnteriorBasalForebrain_L,Anterior basal forebrain left
88,AnteriorBasalForebrain_R,Anterior basal forebrain right
89,NucAccumbens_L,Nucleus accumbens left
90,NucAccumbens_R,Nucleus accumbens right
91,RedNc_L,Red Nucleus left
92,RedNc_R,Red Nucleus right
93,Snigra_L,Substancia Nigra left
94,Snigra_R,Substancia Nigra right
95,CerebellumGM_R,Cerebellum right
96,CerebellumGM_L,Cerebellum
97,CP_L,Cerebral peduncle left
98,CP_R,Cerebral peduncle right
99,Midbrain_L,Midbrain left
100,Midbrain_R,Midbrain right
101,CST_L,Corticospinal tract left
102,CST_R,Corticospinal tract right
103,SCP_L,Superior cerebellar peduncle left
104,SCP_R,Superior cerebellar peduncle right
105,MCP_L,Middle cerebellar peduncle left
106,MCP_R,Middle cerebellar peduncle right
107,PCT_L,Pontine crossing tract (a part of MCP) left
108,PCT_R,Pontine crossing tract (a part of MCP) right
109,ICP_L,Inferior cerebellar peduncle left
110,ICP_R,Inferior cerebellar peduncle right
111,ML_L,Medial lemniscus left
112,ML_R,Medial lemniscus right
113,Pons_L,Pons left
114,Pons_R,Pons right
115,Medulla_L,Medulla left
116,Medulla_R,Medulla right
117,ACR_L,Anterior corona radiata left
118,ACR_R,Anterior corona radiata right
119,SCR_L,Superior corona radiata left
120,SCR_R,Superior corona radiata right
121,PCR_L,Posterior corona radiata left
122,PCR_R,Posterior corona radiata right
123,GCC_L,Genu of corpus callosum left
124,GCC_R,Genu of corpus callosum right
125,BCC_L,Body of corpus callosum left
126,BCC_R,Body of corpus callosum right
127,SCC_L,Splenium of corpus callosum left
128,SCC_R,Splenium of corpus callosum right
129,PVWl_L,Tapatum left
130,PVWl_R,Tapatum right
131,ALIC_L,Anterior limb of internal capsule left
132,ALIC_R,Anterior limb of internal capsule right
133,PLIC_L,Posterior limb of internal capsule left
134,PLIC_R,Posterior limb of internal capsule right
135,RLIC_L,Retrolenticular part of internal capsule left
136,RLIC_R,Retrolenticular part of internal capsule right
137,EC_L,External capsule left
138,EC_R,External capsule right
139,CGC_L,Cingulum (cingulate gyrus) left
140,CGC_R,Cingulum (cingulate gyrus) right
141,CGH_L,Cingulum (hippocampus) left
142,CGH_R,Cingulum (hippocampus) right
143,Fx/ST_L,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left
144,Fx/ST_R,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right
145,Fx_L,Fornix (column and body of fornix) left
146,Fx_R,Fornix (column and body of fornix) right
147,IFO_L,Inferior fronto-occipital fasciculus left
148,IFO_R,Inferior fronto-occipital fasciculus right
149,PTR_L,Posterior thalamic radiation (include optic radiation) left
150,PTR_R,Posterior thalamic radiation (include optic radiation) right
151,SS_L,Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left
152,SS_R,Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right
153,SFO_L,Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left
154,SFO_R,Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right
155,SLF_L,Superior longitudinal fasciculus left
156,SLF_R,Superior longitudinal fasciculus right
157,Cl_L,Uncinate fasciculus left
158,Cl_R,Uncinate fasciculus right
159,PosteriorBasalForebrain_L,Posterior basal forebrain left
160,PosteriorBasalForebrain_R,Posterior basal forebrain right
161,Mammillary_R,Mammillary body left
162,Mammillary_L,Mammillary body right
163,LV_Frontal_L,Lateral ventricle_frontal left
164,LV_body_L,Lateral ventricle body left
165,LV_atrium_L,Lateral ventricle atrium left
166,LV_Occipital_L,Lateral ventricle_Occipital_L
167,LV_Inferior_L,Lateral ventricle inferior left
168,LV_Frontal_R,Lateral ventricle frontal right
169,LV_body_R,Lateral ventricle body right
170,LV_atrium_R,Lateral ventricle atrium right
171,LV_Occipital_R,Lateral ventricle occipital right
172,LV_Inferior_R,Lateral ventricle inferior right
173,III_ventricle,III and IV ventricle
174,PVWa_L,Anterior periventricular white matter cap left
175,PVWa_R,Anterior periventricular white matter cap right
176,PVWp_L,Posterior periventricular white matter cap left
177,PVWp_R,Posterior periventricular white matter cap right
178,SFWM_L,Superior frontal gyrus white matter left
179,SFWM_R,Superior frontal gyrus white matter right
180,SFWM_PFC_L,Superior frontal gyrus (prefrontal cortex) white matter left
181,SFWM_PFC_R,Superior frontal gyrus (prefrontal cortex) white matter right
182,SFWM_pole_L,Superior frontal gyrus (frontal pole) white matter left
183,SFWM_pole_R,Superior frontal gyrus (frontal pole) white matter right
184,MFWM_L,Middle frontal gyrus white matterleft
185,MFWM_R,Middle frontal gyrus white matterright
186,MFWM_DPFC_L,Middle frontal gyrus (dorsal prefrontal cortex) white matter left
187,MFWM_DPFC_R,Middle frontal gyrus (dorsal prefrontal cortex)  white matterright
188,IFWM_opercularis_L,Inferior frontal gyrus pars opercularis white matter left
189,IFWM_opercularis_R,Inferior frontal gyrus pars opercularis white matter right
190,IFWM_orbitalis_L,Inferior frontal gyrus pars orbitralis white matter left
191,IFWM_orbitalis_R,Inferior frontal gyrus pars orbitralis white matter right
192,IFWM_triangularis_L,Inferior frontal gyrus pars triangularis white matter left
193,IFWM_triangularis_R,Inferior frontal gyrus pars triangularis white matter right
194,LFOWM_L,Lateral fronto-orbital gyrus white matter left
195,LFOWM_R,Lateral fronto-orbital gyrus white matter right
196,MFOWM_L,Middle fronto-orbital gyrus white matter left
197,MFOWM_R,Middle fronto-orbital gyrus white matter right
198,RGWM_L,Gyrus rectus white matter left
199,RGWM_R,Gyrus rectus white matter right
200,PoCWM_L,Postcentral gyrus white matter left
201,PoCWM_R,Postcentral gyrus white matter right
202,PrCWM_L,Precentral gyrus white matter left
203,PrCWM_R,Precentral gyrus white matter right
204,SPWM_L,Superior parietal gyrus white matter left
205,SPWM_R,Superior parietal gyrus white matter right
206,SMWM_L,Supramarginal gyrus white matter left
207,SMWM_R,Supramarginal gyrus white matter right
208,AGWM_L,Angular gyrus white matter left
209,AGWM_R,Angular gyrus white matter right
210,PrCuWM_L,Pre-cuneus white matter left
211,PrCuWM_R,Pre-cuneus white matter right
212,STWM_L,Superior temporal gyrus white matter left
213,STWM_R,Superior temporal gyrus white matter right
214,STWM_pole_L,Pole of the superior temporal gyrus white matter left
215,STWM_pole_R,Pole of the superior temporal gyrus white matter right
216,MTWM_L,Middle temporal gyrus white matter left
217,MTWM_R,Middle temporal gyrus white matter right
218,MTWM_pole_L,Pole of the middle temporal gyrus white matter left
219,MTWM_pole_R,Pole of the middle temporal gyrus white matter right
220,ITWM_L,Inferior temporal gyrus white matter left
221,ITWM_R,Inferior temporal gyrus white matter right
222,FuWM_L,Fusiform gyrus white matter left
223,FuWM_R,Fusiform gyrus white matter right
224,SOWM_L,Superior occipital gyrus white matter left
225,SOWM_R,Superior occipital gyrus white matter right
226,MOWM_L,Middle occipital gyrus white matter left
227,MOWM_R,Middle occipital gyrus white matter right
228,IOWM_L,Inferior occipital gyrus white matter left
229,IOWM_R,Inferior occipital gyrus white matter right
230,CuWM_L,Cuneus white matter left
231,CuWM_R,Cuneus white matter right
232,LGWM_L,Lingual gyrus white matter left
233,LGWM_R,Lingual gyrus white matter right
234,rostralWM_ACC_L,Rostral anterior cingulate gyrus white matter left
235,rostralWM_ACC_R,Rostral anterior cingulate gyrus white matter right
236,subcallosalWM_ACC_L,Subcallosal anterior cingulate gyrus white matter left
237,subcallosalWM_ACC_R,Subcallosal anterior cingulate gyrus white matter right
238,subgenualWM_ACC_L,Subgenual anterior cingulate gyrus white matter left
239,subgenualWM_ACC_R,Subgenual anterior cingulate gyrus white matter right
240,dorsalWM_ACC_L,Dorsal anterior cingulate gyrus white matter left
241,dorsalWM_ACC_R,Dorsal anterior cingulate gyrus white matter right
242,PCCWM_L,Posterior cingulate gyrus white matter left
243,PCCWM_R,Posterior cingulate gyrus white matter right
244,CerebellumWM_R,Cerebellum white matter left
245,CerebellumWM_L,Cerebellum white matter right
246,MCP_cb_L,Middle cerebellar peduncle left
247,MCP_cb_R,Middle cerebellar peduncle right
248,ICP_cb_L,Inferior cerebellar peduncle (cerebellum part) left
249,ICP_cb_R,Inferior cerebellar peduncle (cerebellum part) right
250,FrontSul_L,Frontal sulcus left
251,FrontSul_R,Frontal sulcus right
252,CentralSul_L,Central sulcus left
253,CentralSul_R,Central sulcus right
254,SylFrontSul_L,Sylvian fissure (Frontal rami) left
255,SylFrontSul_R,Sylvian fissure (Frontal rami)  right
256,SylTempSul_L,Sylvian fissure (temporal rami) left
257,SylTempSul_R,Sylvian fissure (temporal rami) right
258,SylParieSul_L,Sylvian fissure (parietal rami) left
259,SylParieSul_R,Sylvian fissure (parietal rami) right
260,ParietSul_L,Parietal sulcus left
261,ParietSul_R,Parietal sulcus right
262,CinguSul_L,Cingulate sulcus left
263,CinguSul_R,Cingulate sulcus right
264,OcciptSul_L,Occipital sulcus left
265,OcciptSul_R,Occipital sulcus right
266,TempSul_L,Temporal sulcus left
267,TempSul_R,Temporal sulcus right
268,Caudate_tail_L,Caudate tail left
269,Fimbria_L,Fimbria left
270,Caudate_tail_R,Caudate tail right
271,Fimbria_R,Fimbria right
272,Chroid_LVetc_L,Choroid plexus left
273,Chroid_LVetc_R,Choroid plexus right
274,IV_ventricle,IVth ventricle
275,ECCL_L,External capsule and claustrum left
276,ECCL_R,External capsule and claustrum right
277,ECSAnterior_L,Superior subarachnoid space anterior left
278,ECSAnterior_R,Superior subarachnoid space anterior right
279,ECSPosterior_L,Superior subarachnoid space posterior left
280,ECSPosterior_R,Superior subarachnoid space posterior right
